t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_free_horizontal_cylinder_radius2p5_x,object_free_horizontal_cylinder_radius2p5_y,object_free_horizontal_cylinder_radius2p5_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.22,0.02
0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.22,0.02
0.004,0.0,0.0,-1.8111162172993653e-08,-0.0019395378543253779,-3.879075708650756e-06,7.1069264373281275e-09,-0.0007541735581079128,-1.5083471162158255e-06,-1.2980686077220241e-08,-0.0007393121578021203,-1.4786243156042406e-06,-1.7343920344343908e-08,-0.001901318205609924,-3.802636411219848e-06,9.502171743993018e-09,-0.0007304432292552962,-1.4608864585105924e-06,-2.1840672737221546e-08,-0.00103046188149588,-2.06092376299176e-06,-1.4028470478193123e-08,-0.0018785096326243804,-3.757019265248761e-06,1.7462805179666167e-09,-0.0010101560694501873,-2.0203121389003746e-06,-1.8809856172056345e-08,-0.000998038046086784,-1.996076092173568e-06,9.063239853833864e-09,-0.0010003510737714703,-2.0007021475429405e-06,-2.3656485683618937e-08,-0.0018598597102729116,-3.7197194205458232e-06,-3.828363115357296e-08,-0.0018232101627386201,-3.6464203254772403e-06,-3.932673434965e-10,-0.000980638611575175,-1.9612772231503503e-06,-9.004098937803664e-10,-0.0009688746852221007,-1.9377493704442017e-06,-4.438662609675994e-08,-0.0018013385886159346,-3.6026771772318693e-06,-0.043428571428571434,0.0,0.075,0.22,0.02
0.006,0.0,0.0,-9.055549777695923e-08,-0.0038790757086507558,-7.758115194977166e-06,3.553415259901299e-08,-0.0015083471162158255,-3.0167084462845258e-06,-6.490302261913997e-08,-0.0014786243156042407,-2.957222669836327e-06,-8.671928814447139e-08,-0.003802636411219848,-7.605238134599007e-06,4.751025848880374e-08,-0.0014608864585105923,-2.9217919213646726e-06,-1.0920267434233269e-07,-0.00206092376299176,-4.121803844638045e-06,-7.014216531752977e-08,-0.003757019265248761,-7.514010473556566e-06,8.731062697268091e-09,-0.0020203121389003745,-4.040627770361784e-06,-9.404873420431286e-08,-0.001996076092173568,-3.992114564634792e-06,4.5315749513960795e-08,-0.0020007021475429406,-4.001422421565589e-06,-1.1828200411815326e-07,-0.0037197194205458232,-7.43939152812028e-06,-1.9141718594945247e-07,-0.0036464203254772403,-7.2927640836921734e-06,-1.9664145316342084e-09,-0.00196127722315035,-3.9225536597660135e-06,-4.502365028153907e-09,-0.0019377493704442015,-3.8754969400686155e-06,-2.2193182413144533e-07,-0.0036026771772318692,-7.205265581211545e-06,-0.08685714285714287,0.0,0.075,0.22,0.02
0.008,0.0,0.0,-2.5355376572683097e-07,-0.005818613562976133,-1.1637046014956713e-05,9.94931334405087e-08,-0.002262520674323738,-4.525112416952674e-06,-1.8172634296055965e-07,-0.0022179364734063608,-4.435743140767484e-06,-2.428123762126752e-07,-0.005703954616829771,-1.1407735795083253e-05,1.3302560259080842e-07,-0.002191329687765888,-4.3827543960487535e-06,-3.0576390359531067e-07,-0.0030913856444876402,-6.182552883626595e-06,-1.9639709011266797e-07,-0.00563552889787314,-1.1270917511415646e-05,2.444520812599668e-08,-0.0030304682083505613,-6.060953878826518e-06,-2.6333361317947066e-07,-0.0029941141382603515,-5.988040179052295e-06,1.2688175992462115e-07,-0.00300105322131441,-6.002197074127848e-06,-3.311874051797352e-07,-0.005579579130818734,-1.115892169762923e-05,-5.359630776289748e-07,-0.00546963048821586,-1.0938878142059822e-05,-5.506365322328906e-09,-0.0029419158347255246,-5.883827736621986e-06,-1.2608262969745582e-08,-0.0029066240556663014,-5.813239106602547e-06,-6.214023145769793e-07,-0.0054040157658478034,-1.0807587668047344e-05,-0.13028571428571428,0.0,0.075,0.22,0.02
0.01,0.0,0.0,-5.433242202964149e-07,-0.0077581514173015115,-1.551579572707157e-05,2.1319148734879976e-07,-0.003016694232431651,-6.0335874511301835e-06,-3.8940671840675247e-07,-0.0029572486312084813,-5.914133809731041e-06,-5.203069488121817e-07,-0.007605272822439696,-1.5210060020126967e-05,2.850447447264707e-07,-0.0029217729170211847,-5.843811885247551e-06,-6.551967446967966e-07,-0.00412184752598352,-8.24308352415985e-06,-4.208477539089364e-07,-0.007514038530497522,-1.5027684266814819e-05,5.237685935661208e-08,-0.004040624277800749,-8.08129744601775e-06,-5.642770990615094e-07,-0.003992152184347136,-7.983777701467915e-06,2.7188190407669343e-07,-0.004001404295085881,-8.003062353691612e-06,-7.096801444051772e-07,-0.0074394388410916465,-1.4878215307372932e-05,-1.148475961069942e-06,-0.0072928406509544805,-1.4584609375753703e-05,-1.1800665987859692e-08,-0.0039225544463007,-7.845097879870757e-06,-2.702302563882484e-08,-0.003875498740888403,-7.750972265250867e-06,-1.3315543673756723e-06,-0.0072053543544637385,-1.4409465904298323e-05,-0.17371428571428574,0.0,0.075,0.22,0.02
0.012,0.0,0.0,-9.96081358928207e-07,-0.009697689271626888,-1.939429189481318e-05,3.908310781327324e-07,-0.0037708677905395637,-7.542161964053825e-06,-7.138953274386048e-07,-0.0036965607890106014,-7.392342764584389e-06,-9.538830075253762e-07,-0.00950659102804962,-1.9012141442201617e-05,5.22557023403233e-07,-0.0036522161462764807,-7.305002382042415e-06,-1.2011653103323543e-06,-0.005152309407479401,-1.0303308421469409e-05,-7.715464210067084e-07,-0.009392548163121902,-1.8784254630735986e-05,9.6010080605388e-08,-0.005050780347250936,-1.0101665448220585e-05,-1.0344852384035968e-06,-0.00499019023043392,-9.979251906669717e-06,4.9843141821393e-07,-0.005001755368857351,-1.0004054501522855e-05,-1.3010625859470326e-06,-0.009299298551364557,-1.8597177742440305e-05,-2.1054988539855067e-06,-0.0091160508136931,-1.822980467546406e-05,-2.1637796574431304e-08,-0.004903193057875875,-9.806362514419774e-06,-4.955536123679029e-08,-0.0048443734261105036,-9.688692806169729e-06,-2.4411285772709388e-06,-0.009006692943079674,-1.8010722777424597e-05,-0.21714285714285717,0.0,0.075,0.22,0.02
0.014,0.0,0.0,-1.6480346702230436e-06,-0.011637227125952266,-2.3272462089186678e-05,6.46606097392042e-07,-0.004525041348647476,-9.050864359451218e-06,-1.1811368252210604e-06,-0.0044358729468127215,-8.870318102970566e-06,-1.5782155373189284e-06,-0.011407909233659542,-2.281391070130403e-05,8.645421749543165e-07,-0.004382659375531776,-8.76636386511036e-06,-1.9873226852248847e-06,-0.0061827712889752804,-1.2363140247329897e-05,-1.2765423628747905e-06,-0.01127105779574628,-2.2540572498650548e-05,1.5882349875151937e-07,-0.006060936416701123,-1.2122064853563456e-05,-1.7115553324246358e-06,-0.005988228276520703,-1.1974387582564598e-05,8.246383432914826e-07,-0.00600210644262882,-1.2005209748094069e-05,-2.1526303057006797e-06,-0.011159158261637468,-2.231571439810304e-05,-3.483559258648078e-06,-0.01093926097643172,-2.187431095515547e-05,-3.5807482165017634e-08,-0.005883831669451049,-1.176762006330895e-05,-8.201902582975615e-08,-0.005813248111332603,-1.1626397111942734e-05,-4.038844639962463e-06,-0.010808031531695607,-2.1611180806236672e-05,-0.26057142857142856,0.0,0.075,0.22,0.02
0.016,0.0,0.0,-2.5353873821814993e-06,-0.013576764980277642,-2.7150233891214836e-05,9.947011474165213e-07,-0.005279214906755389,-1.055972302570556e-05,-1.8170677135361638e-06,-0.005175185104614842,-1.0348007935579241e-05,-2.427973252884564e-06,-0.013309227439269466,-2.6615298447464294e-05,1.3299679342109482e-06,-0.005113102604787072,-1.0227934293924053e-05,-3.05730817037042e-06,-0.00721323317047116,-1.442249169557187e-05,-1.9638811102164235e-06,-0.013149567428370661,-2.6296581772015572e-05,2.4428894475572884e-07,-0.0070710924861513095,-1.4142502619300122e-05,-2.6330737516018724e-06,-0.006986266322607487,-1.3969109534550126e-05,1.2686017267876135e-06,-0.007002457516400291,-1.4006564309487164e-05,-3.311670394672218e-06,-0.01301901797191038,-2.603373068320936e-05,-5.359165284348227e-06,-0.01276247113917034,-2.551797515982338e-05,-5.510100414679376e-08,-0.006864470281026224,-1.3728868947088119e-05,-1.2623408445071367e-07,-0.006782122796554704,-1.3564081555057749e-05,-6.213396129414144e-06,-0.01260937012031154,-2.5210662551343156e-05,-0.304,0.0,0.075,0.22,0.02
0.018000000000000002,0.0,0.0,-3.694335210768944e-06,-0.015516302834603023,-3.1027534894441687e-05,1.4492893247667398e-06,-0.006033388464863302,-1.2068766332021439e-05,-2.6476147112619686e-06,-0.005914497262416963,-1.1825360389406852e-05,-3.53781734533421e-06,-0.015210545644879392,-3.041623534325302e-05,1.9377876360454907e-06,-0.005843545834042369,-1.168975160395316e-05,-4.454744528152471e-06,-0.00824369505196704,-1.648127548759334e-05,-2.86160370523148e-06,-0.015028077060995043,-3.0052226359769653e-05,3.5587009561818227e-07,-0.008081248555601498,-1.6162985689092507e-05,-3.836613750926963e-06,-0.007984304368694272,-1.596334258988534e-05,1.8484098249694682e-06,-0.008002808590171762,-1.6008154383797098e-05,-4.825459762655962e-06,-0.014878877682183293,-2.975113202357724e-05,-7.808801770798544e-06,-0.014585681301908961,-2.9160644273249224e-05,-8.031151148445783e-08,-0.0078451088926014,-1.569010758319451e-05,-1.8402817158277748e-07,-0.007750997481776806,-1.550174249538471e-05,-9.05344527664407e-06,-0.014410708708927477,-2.8808990625596127e-05,-0.3474285714285715,0.0,0.075,0.22,0.02
