t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma,input_sigma_diff,object_gui_scanned_mug_x,object_gui_scanned_mug_y,object_gui_scanned_mug_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.125,0.09
0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.125,0.09
0.004,0.0,0.0,1.291697079302679e-08,0.0030749385333192257,3.689926239983071e-05,1.54108736062798e-07,0.0030143451964565375,3.617214235747845e-05,2.79499438322917e-07,0.0024200819450055293,2.9040983340066353e-05,1.3776114212702196e-08,0.0030749385333192257,3.689926239983071e-05,1.2430022209184458e-07,0.002978184541068005,3.573821449281606e-05,3.7768951300792746e-07,0.002978184541068005,3.573821449281606e-05,4.8694290593945206e-08,0.0030143451964565375,3.617214235747845e-05,6.5390450146512e-08,0.0023723929135208133,2.846871496224976e-05,2.94547615509256e-07,0.0023439332391965626,2.8127198870358753e-05,0.08,0.0,0.045,0.125,0.09
0.006,0.0,0.0,6.459419403275288e-08,0.0061498770666384515,7.37983697960119e-05,7.705337081462601e-07,0.006028690392913075,7.234243541012414e-05,1.3974555827488919e-06,0.0048401638900110585,5.807861268687283e-05,6.888825532296681e-08,0.0061498770666384515,7.379835948629086e-05,6.214999343141314e-07,0.00595636908213601,7.147493738296702e-05,1.8883876575555037e-06,0.00595636908213601,7.147189671147604e-05,2.4347296872034177e-07,0.006028690392913075,7.234370038346978e-05,3.2695838360622743e-07,0.004744785827041627,5.693664523909776e-05,1.4726900710918116e-06,0.004687866478393125,5.625086316933139e-05,0.16,0.0,0.045,0.125,0.09
0.008,0.0,0.0,1.8091231030303552e-07,0.009224815599957676,0.00011069701206916372,2.1574425277816552e-06,0.009043035589369612,0.0001085071806679376,3.912659272384608e-06,0.007260245835016587,8.710618055320607e-05,1.9292707232142514e-07,0.009224815599957676,0.00011069696054042826,1.740193698154349e-06,0.008934553623204016,0.00010720718547923643,5.287173932575436e-06,0.008934553623204016,0.00010719198282655752,6.817321944796492e-07,0.009043035589369612,0.0001085135053968107,9.155153621189953e-07,0.0071171787405624395,8.540222138614601e-05,4.1232825740758176e-06,0.007031799717589687,8.436392433022314e-05,0.24,0.0,0.045,0.125,0.09
0.01,0.0,0.0,3.878266713471697e-07,0.012299754133276903,0.0001475948786515992,4.622923030868482e-06,0.01205738078582615,0.00014466268011958044,8.38356852293522e-06,0.009680327780022117,0.00011611698144899679,4.1354468315016256e-07,0.012299754133276903,0.000147594734474455,3.7289666521445576e-06,0.01191273816427202,0.0001429319756468864,1.132864864948812e-05,0.01191273816427202,0.00014288941188407336,1.4608802550935865e-06,0.01205738078582615,0.00014468038864358005,1.961921989964161e-06,0.009489571654083253,0.00011386387366465362,8.834796340225926e-06,0.00937573295678625,0.0001124593160905461,0.32,0.0,0.045,0.125,0.09
0.012,0.0,0.0,7.114046762171958e-07,0.015374692666596128,0.00018449165807909738,8.474943393400236e-06,0.015071725982282687,0.00018080523671102182,1.536814221343859e-05,0.012100409725027645,0.0001451043138780565,7.584853985648069e-07,0.015374692666596128,0.00018449134946295573,6.8363897718124915e-06,0.014890922705340025,0.00017864632486425455,2.0766693488323486e-05,0.014890922705340025,0.00017855512868028645,2.678343630777425e-06,0.015071725982282687,0.00018084318122433114,3.5971123928748392e-06,0.011861964567604065,0.00014232003174736923,1.619512672238654e-05,0.011719666195982812,0.00014052997679571104,0.39999999999999997,0.0,0.045,0.125,0.09
0.014,0.0,0.0,1.1778630806297748e-06,0.018449631199915353,0.00022138703754286964,1.4021312252074596e-05,0.018086071178739224,0.00021693115482414988,2.542367390874804e-05,0.014520491670033175,0.00017406148233383684,1.2556164313587251e-06,0.018449631199915353,0.00022138647257420146,1.1311015090236022e-05,0.01786910724640803,0.00021434725027963465,3.435423226053295e-05,0.01786910724640803,0.00021418008663503648,4.4315730637981755e-06,0.018086071178739224,0.00021700071402130133,5.952118638546612e-06,0.014234357481124879,0.00017076912442478404,2.6791401510713093e-05,0.014063599435179375,0.00016856885170148388,0.48,0.0,0.045,0.125,0.09
0.016,0.0,0.0,1.8136052688245962e-06,0.021524569733234578,0.00025828070244184737,2.1569638831742093e-05,0.02110041637519576,0.00025303674075532426,3.910662587201226e-05,0.0169405736150387,0.00020298179929355943,1.9329585850965804e-06,0.021524569733234578,0.00025827976940163863,1.7401370863468575e-05,0.020847291787476036,0.00025003176926862965,5.284299196108622e-05,0.020847291787476036,0.000249755250662586,6.818049631987154e-06,0.02110041637519576,0.0002531518176255836,9.15809507541237e-06,0.01660675039464569,0.00019920957931208574,4.1209789473056866e-05,0.016407532674375936,0.0001965688952743827,0.5599999999999999,0.0,0.045,0.125,0.09
0.018000000000000002,0.0,0.0,2.6452584772342533e-06,0.024599508266553806,0.0002951723359354198,3.1427293081649427e-05,0.0241147615716523,0.0002891183031938467,5.697246332134446e-05,0.019360655560044234,0.0002318585872100667,2.8187169165061722e-06,0.024599508266553806,0.0002951709036956245,2.5355956665133142e-05,0.02382547632854404,0.0002856968994921669,7.698326419235738e-05,0.02382547632854404,0.00028527160003899546,9.935290827968555e-06,0.0241147615716523,0.00028929532226424373,1.3346342566393045e-05,0.018979143308166507,0.00022763982255709315,6.003530920399167e-05,0.0187514659135725,0.00022452307348919335,0.64,0.0,0.045,0.125,0.09
0.02,0.0,0.0,3.6997109592910147e-06,0.027674446799873034,0.0003320616184967496,4.390136582243696e-05,0.02712910676810884,0.0003251721537003263,7.957548898479811e-05,0.021780737505049764,0.000260685180500741,3.941311365679291e-06,0.027674446799873034,0.00033205953699547836,3.542323839452301e-05,0.02680366086961205,0.000321339658955363,0.00010752366704218452,0.02680366086961205,0.0003207201312650363,1.3880856645356392e-05,0.02712910676810884,0.0003254300577273705,1.8648332594384855e-05,0.021351536221687322,0.00025605827854945117,8.385163835086737e-05,0.021095399152769066,0.00025242436612278086,0.7200000000000001,0.0,0.045,0.125,0.09
0.022,0.0,0.0,5.004149080715918e-06,0.030749385333192256,0.0003689482274667956,5.9298628905854884e-05,0.030143451964565374,0.00036119460718491526,0.00010746867800767233,0.02420081945005529,0.0002894549275328459,5.329407348234262e-06,0.030749385333192256,0.0003689453282619189,4.785164318259818e-05,0.02978184541068005,0.00035695706606742636,0.0001452109074983367,0.02978184541068005,0.0003560918609236544,1.875235567316048e-05,0.030143451964565374,0.0003615548532950402,2.519573121630726e-05,0.02372392913520813,0.00028446336963136495,0.00011324092328514663,0.023439332391965623,0.0002802657690433771,0.7999999999999999,0.0,0.045,0.125,0.09
0.024,0.0,0.0,6.586094334659115e-06,0.03382432386651148,0.00040583183660916915,7.792549538916876e-05,0.03315779716102191,0.00039718198238539263,0.00014120351326605797,0.026620901395060816,0.0003181611926046377,7.011946303594947e-06,0.03382432386651148,0.0004058279335099589,6.288955418032744e-05,0.03276002995174805,0.00039254613970278544,0.00019078954448144216,0.03276002995174805,0.00039137782853099657,2.4647451199628105e-05,0.03315779716102191,0.00039766853766418493,3.312042284261224e-05,0.026096322048728943,0.0003128535158101516,0.0001487835892871266,0.025783265631162185,0.00030804029649452445,0.8799999999999999,0.0,0.045,0.125,0.09
0.026000000000000002,0.0,0.0,8.473440266087381e-06,0.036899262399830705,0.00044271211566595256,0.00010008797972623275,0.03617214235747845,0.0004331306023450714,0.00018132982114040403,0.02904098334006635,0.0003467973579216035,9.018176193543224e-06,0.036899262399830705,0.0004427070054423254,8.078530521389782e-05,0.03573821449281606,0.00042810389926362883,0.0002450017525782209,0.03573821449281606,0.00042656909938001546,3.1663867326731524e-05,0.03617214235747845,0.0004337699388753458,4.255453381924454e-05,0.028468714962249758,0.0003412271344728858,0.00019105815131196732,0.02812719887035875,0.0003357409833728595,0.96,0.0,0.045,0.125,0.09
