t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_horizontal_cylinder_radius2p5_x,object_horizontal_cylinder_radius2p5_y,object_horizontal_cylinder_radius2p5_z
0.0,36.0,10406.399847416305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.15,0.085
0.002,38.0,9751.48103356465,0.00679670807234878,0.0,0.0,-0.0067550538801382735,0.0,0.0,-2.0827096105253407e-05,0.0,0.0,-4.754632398272457e-05,0.0,0.0,0.01575555932101884,0.0,0.0,-0.007854006498518057,0.0,0.0,9.795414227102137e-05,0.0,0.0,0.016295253722126035,0.0,0.0,-0.008196603932198527,0.0,0.0,0.007377077575173862,0.0,0.0,-0.008819106600829074,0.0,0.0,0.0007210145128276062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07499619022457645,0.14996136401191412,0.08517133046040085
0.004,38.0,9613.750577607945,0.024021215532082633,-0.0027153529960555287,-5.707236641042586e-05,-0.02311804610842317,-0.0010558429813510779,3.419526539272317e-05,-0.00045166077757409105,-0.0010350370209229684,-6.085259548906289e-06,-0.000731130172308071,-0.002661845487853893,-1.568579498322701e-05,0.0608206987810995,-0.0010226205209574145,-0.00010066907905185752,-0.030044303452405885,-0.001442646634094232,3.846815918654295e-05,-0.00019947536267577896,-0.002629913485674132,-1.6367205767670922e-05,0.06179274676454695,-0.001414218497230262,-0.00010625683331613778,-0.0307961257496355,-0.0013972532645214974,4.079610400606217e-05,0.02610145472672469,-0.001400491503280058,-5.2665414470723514e-05,-0.028908638864581813,-0.002603803594382076,3.7291818038681986e-05,0.001403346555773015,-0.002552494227834068,-1.9641052443970045e-05,-1.6517228426852983e-09,-0.0013728940562052448,-8.237364337231469e-06,-3.781721553877545e-09,-0.0013564245593109408,-8.138547355865645e-06,-1.8642382960639178e-07,-0.002521874024062308,-1.5131244144373849e-05,-0.0608,0.0,0.07499397679773162,0.1498512585036898,0.08564790403341363
0.006,38.0,10050.840211440323,0.05025144393748161,-0.0054307059921110575,-0.00017671152914516214,-0.04627727025252901,-0.0021116859627021557,0.00012603816087432607,-0.001987436420704203,-0.0020700740418459367,-9.710479585631074e-06,-0.0016456923076425697,-0.005323690975707786,-2.7555364820398293e-05,0.13154295198956362,-0.002045241041914829,-0.000377195638938086,-0.06494515035922721,-0.002885293268188464,0.00016295406110530453,-0.0009133279567875162,-0.005259826971348264,-3.036210965203491e-05,0.1295020552749424,-0.002828436994460524,-0.00038772710255404483,-0.06429073368373567,-0.0027945065290429947,0.00016800971532355503,0.051960494169701374,-0.002800983006560116,-0.00017341462639970884,-0.053617016119861936,-0.005207607188764152,0.00014220619005490595,0.0008270363104877815,-0.005104988455668136,-3.9050010068646906e-05,-8.259594671738004e-09,-0.0027457881124104896,-1.6474718764125883e-05,-1.891258381596381e-08,-0.0027128491186218817,-1.6277072021401965e-05,-9.321026879922944e-07,-0.005043748048124616,-3.026136974577006e-05,-0.1216,0.0,0.07500525208189739,0.14968271196988708,0.0863716924086997
0.008,36.0,9416.599049871867,0.08345835700602619,-0.008146058988166586,-0.0003503850175538892,-0.07344493709395816,-0.0031675289440532333,0.00025865844785085464,-0.005007538253338429,-0.003105111062768905,-6.706047852388213e-06,-0.002460876571420755,-0.00798553646356168,-3.803906493551466e-05,0.2229631258724719,-0.0030678615628722435,-0.0008076648813146153,-0.11023806332250072,-0.004327939902282696,0.00036370326274166707,-0.0017315829343957558,-0.007889740457022397,-4.1858475001409284e-05,0.2177000586527728,-0.004242655491690786,-0.0008024682645997992,-0.10797088031532175,-0.0041917597935644925,0.00036059384334102704,0.08482104979550686,-0.004201474509840175,-0.0003369718120772493,-0.08266407528763263,-0.007811410783146228,0.00027483363202029427,-0.0010818155340169761,-0.007657482683502204,-5.0907113963939914e-05,-2.3131963470295036e-08,-0.0041186821686157345,-2.471204345412638e-05,-5.29759094768809e-08,-0.004069273677932823,-2.441552859209404e-05,-2.609801935728575e-06,-0.007565622072186925,-4.5388139816993595e-05,-0.1824,0.0,0.0750081000214041,0.14945173121573518,0.0872824377651702
0.01,37.0,9563.652713972353,0.11948454201091785,-0.010861411984222115,-0.0005659186139414898,-0.09942120486009728,-0.004223371925404311,0.0004153293910113231,-0.010032994363126652,-0.0041401480836918735,5.204341017879333e-06,-0.0032707088370699886,-0.010647381951415572,-4.91190322799689e-05,0.329432849105604,-0.004090482083829658,-0.0013623216477378095,-0.16304604560840735,-0.005770586536376928,0.0006268048607167428,-0.002395341439010442,-0.010519653942696529,-5.272842604980464e-05,0.3212755205680212,-0.005656873988921048,-0.001340141595850163,-0.15940481838902754,-0.0055890130580859895,0.0006142912035434145,0.12460468797598478,-0.005601966013120232,-0.0005425380948517626,-0.11612846667486208,-0.010415214377528305,0.00043349316546062596,-0.004244863497156424,-0.010209976911336271,-5.476896826391577e-05,-4.958502093143336e-08,-0.005491576224820979,-3.294931855714505e-05,-1.1358682504984975e-07,-0.005425698237243763,-3.255387156800572e-05,-5.592155263963472e-06,-0.010087496096249232,-6.0509317765881025e-05,-0.2432,0.0,0.07499777230719235,0.14915573940133112,0.08833135843404857
0.012,33.0,9193.298610796279,0.15952803340642513,-0.013576764980277642,-0.000798367841947173,-0.12555700722352633,-0.005279214906755389,0.0005648519397200515,-0.01698690697962061,-0.005175185104614842,2.914685555107086e-05,-0.0037526728686609234,-0.013309227439269466,-6.023111161319687e-05,0.44787368443622416,-0.005113102604787072,-0.0020072757102623465,-0.22198399553839537,-0.00721323317047116,0.0009349968746276172,-0.0026768922767977754,-0.013149567428370661,-6.45253559361613e-05,0.43597435302833165,-0.0070710924861513095,-0.001970079678325035,-0.2165724355372287,-0.006986266322607487,0.0009145113123985203,0.1683066014211559,-0.007002457516400291,-0.0007896428729543105,-0.1501935873833618,-0.01301901797191038,0.0006186566922177102,-0.00906800786468379,-0.01276247113917034,-5.110564585208348e-05,-9.094672440305132e-08,-0.006864470281026224,-4.118652417603176e-05,-2.0840815335752074e-07,-0.006782122796554704,-4.069205525837793e-05,-1.025159888227786e-05,-0.01260937012031154,-7.562266779028546e-05,-0.304,0.0,0.07499420079278958,0.14881517989838433,0.08948333767654838
0.014,35.0,9224.046597523738,0.20485289169716675,-0.016292117976333172,-0.00105492090829655,-0.15394076114087363,-0.006335057888106467,0.0007153316960125193,-0.025456354679714167,-0.00621022212553781,6.46601091244968e-05,-0.003384863814130909,-0.01597107292712336,-7.331040035077463e-05,0.5748836562353098,-0.006135723125744487,-0.0027240564453718122,-0.2856037131760637,-0.008655879804565392,0.0012799686944029798,-0.0025985318336585366,-0.015779480914044793,-7.861553182348211e-05,0.5581413572069256,-0.008485310983381572,-0.0026667579840702793,-0.27762704862493376,-0.008383519587128985,0.0012491334957005983,0.21301300834520268,-0.00840294901968035,-0.0010602573026450176,-0.18063091241401033,-0.015622821566292456,0.000807424594902416,-0.016208404152960404,-0.015314965367004408,-3.748174501392371e-05,-1.5056071895648644e-07,-0.008237364337231469,-4.9423640343042396e-05,-3.4516629302128076e-07,-0.008138547355865645,-4.8830033686273726e-05,-1.696030573766373e-05,-0.01513124414437385,-9.072595527294943e-05,-0.3648,0.0,0.07499585723681516,0.14840572698286505,0.09069568129007657
0.016,34.0,9038.545244205028,0.2530269511721575,-0.0190074709723887,-0.0013431621760173326,-0.18183911538911277,-0.007390900869457544,0.0008792991616284966,-0.03559092872295731,-0.007245259146460778,0.00010926657319952034,-0.002319437060750346,-0.018632918414977252,-9.148832760507806e-05,0.7077544154989681,-0.0071583436467019005,-0.00349225199929207,-0.3524659708977583,-0.010098526438659624,0.0016530311204244247,-0.00207519742772363,-0.018409394399718924,-9.486517539636233e-05,0.6864772597716817,-0.009899529480611834,-0.0034082453201252244,-0.3419528952477384,-0.009780772851650481,0.0016070776546396998,0.2595229976154269,-0.009803440522960406,-0.0013368986932089785,-0.2082357703482855,-0.018226625160674532,0.0009744257235200149,-0.025667418113483227,-0.017867459594838472,-9.95433265126841e-06,-2.317902596277709e-07,-0.009610258393436714,-5.766064699630655e-05,-5.316670797577456e-07,-0.009494971915176585,-5.696776049330138e-05,-2.6090119777068576e-05,-0.017653118168436156,-0.00010581694717619096,-0.4256,0.0,0.07499604810921355,0.14791753841952776,0.09195019238665258
0.018000000000000002,32.0,8889.32117671591,0.30154154229668817,-0.02172282396844423,-0.0016484986508436103,-0.20600487728475914,-0.008446743850808623,0.0010403542292298249,-0.04775865063766015,-0.008280296167383747,0.0001638637953334414,-0.000926060546879345,-0.021294763902831144,-0.00011385196105248479,0.8440425912556144,-0.008180964167659316,-0.004295612277999765,-0.4211546794973499,-0.011541173072753857,0.0020455487869500263,-0.0007363553506182575,-0.021039307885393058,-0.00011378466274601657,0.818943464529629,-0.011313747977842096,-0.004186746046497143,-0.40870675021685604,-0.011178026116171979,0.0019846492147893987,0.30982056534457497,-0.011203932026240464,-0.0016243615778500043,-0.23606236495633187,-0.02083042875505661,0.0011244320495593734,-0.0369090838359187,-0.020419953822672542,3.148478574486411e-05,-3.380221338797655e-07,-0.010983152449641959,-6.589752395629398e-05,-7.758116242912722e-07,-0.010851396474487527,-6.510518884444661e-05,-3.8012490265941025e-05,-0.020174992192498464,-0.00012089341243632837,-0.4864,0.0,0.07499594573782181,0.14738970126074358,0.09322040599914751
