t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_free_horizontal_y_axis_cylinder_radius2p5_x,object_free_horizontal_y_axis_cylinder_radius2p5_y,object_free_horizontal_y_axis_cylinder_radius2p5_z
0.0,20.0,14.222700472831722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.18,0.03
0.002,19.0,12.055609068293478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001644310767022247,0.0,0.0,-5.00551813470607e-05,0.0,0.0,2.5040215862291875e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054999998773957795,0.18000578747630663,0.02998897221237422
0.004,19.0,9.946964410231496,-3.5745714815119045e-08,-0.0030624281910400708,-7.656070477600177e-06,1.4026828494726565e-08,-0.0011908003549072309,-2.9770008872680774e-06,-2.5619775152408373e-08,-0.001167334986003348,-2.9183374650083703e-06,0.0005800984777765397,-0.0030020813772788277,-7.91628113495263e-06,-0.0001370471489681147,-0.0011533314146136256,-2.7581905831664123e-06,4.528491084094022e-06,-0.0016270450760461268,-4.07387274408089e-06,-2.7687770680644322e-08,-0.002966067840985864,-7.4151696024646605e-06,3.4466062854604243e-09,-0.0015949832675529274,-3.987458168882319e-06,-3.712471612905858e-08,-0.001575849546452817,-3.939623866132043e-06,1.7887973395724746e-08,-0.0015795016954286373,-3.9487542385715935e-06,-4.669043227030055e-08,-0.002936620595167756,-7.34155148791939e-06,-7.555979832942034e-08,-0.002878752888534664,-7.1968822213366594e-06,-7.761855463746725e-10,-0.0015483767551186976,-3.870941887796744e-06,-1.777124790355978e-09,-0.0015298021345612118,-3.8245053364030296e-06,-8.760518308571043e-08,-0.0028442188241304235,-7.110547060326059e-06,-0.06857142857142859,0.0,0.05499998986107067,0.1800226450634244,0.029956987372884637
0.006,18.0,8.131232794749305,-1.7872780165452033e-07,-0.0061248563820801415,-1.5312051590913316e-05,7.01329592804725e-08,-0.0023816007098144618,-5.9540368416073914e-06,-1.2809786975802565e-07,-0.002334669972006696,-5.83661088057886e-06,0.0011726070417323552,-0.0060041627545576555,-1.646065308083549e-05,-0.00021831833810179543,-0.0023066628292272512,-5.424039200647841e-06,-8.049357257711333e-07,-0.0032540901520922536,-8.146546607940869e-06,-1.3843839187336342e-07,-0.005932135681971728,-1.483026998550262e-05,1.7232192876566144e-08,-0.003189966535105855,-7.97492495428035e-06,-1.85622231987475e-07,-0.003151699092905634,-7.879154920473763e-06,8.943875738518157e-08,-0.0031590033908572746,-7.897553197076676e-06,-2.3345111455888394e-07,-0.005873241190335512,-1.4682986249758103e-05,-3.777965990029922e-07,-0.005757505777069328,-1.4393575543177496e-05,-3.881119707576574e-09,-0.003096753510237395,-7.741881835129621e-06,-8.886402469671567e-09,-0.0030596042691224236,-7.649006229994084e-06,-4.380226925197833e-07,-0.005688437648260847,-1.4220875107694403e-05,-0.13714285714285718,0.0,0.054999979294935185,0.18004805998193324,0.029908744111316162
0.008,18.0,6.606036495132699,-5.004338280707979e-07,-0.009187284573120211,-2.2967764613296393e-05,1.9636613343928548e-07,-0.003572401064721692,-8.931177994202432e-06,-3.58668804148358e-07,-0.0035020049580100437,-8.754692150350714e-06,0.0019010147313252962,-0.009006244131836483,-2.5447127933922095e-05,-0.00029430736949646636,-0.0034599942438408764,-8.104189764347703e-06,-8.366738523943637e-06,-0.00488113522813838,-1.2200825731031521e-05,-3.8762509730696547e-07,-0.00889820352295759,-2.2245162711414293e-05,4.824577963676673e-08,-0.004784949802658782,-1.1962417587129147e-05,-5.197352366011214e-07,-0.0047275486393584506,-1.181840754281616e-05,2.5042275083151256e-07,-0.004738505086285911,-1.1846486312608242e-05,-6.53657677469783e-07,-0.008809861785503265,-2.2024070835971764e-05,-1.057818035539968e-06,-0.00863625866560399,-2.1589702172512466e-05,-1.0868133455377689e-08,-0.004645130265356092,-1.161281596059096e-05,-2.488597515508605e-08,-0.004589406403683635,-1.1473493793202913e-05,-1.2264467800567731e-06,-0.00853265647239127,-2.1330546124246876e-05,-0.20571428571428574,0.0,0.05499996681006806,0.18008023275142102,0.029847662069541935
0.01,17.0,5.234291981046379,-1.0723451824420581e-06,-0.012249712764160283,-3.062303082583053e-05,4.2076462691670063e-07,-0.0047632014196289235,-1.1908494464405908e-05,-7.68559050950173e-07,-0.004669339944013392,-1.1672453188023112e-05,0.0027308282420787774,-0.012008325509115311,-3.4773350601101517e-05,-0.0003649765535767134,-0.0046133256584545024,-1.0797545722395091e-05,-1.6400055027190817e-05,-0.006508180304184507,-1.624953391415141e-05,-8.306174285890655e-07,-0.011864271363943456,-2.9659709347115374e-05,1.03369678347083e-07,-0.00637993307021171,-1.5949953289978368e-05,-1.1136956301312368e-06,-0.006303398185811268,-1.575719612643667e-05,5.366014761226427e-07,-0.006318006781714549,-1.579564301116345e-05,-1.400677377451757e-06,-0.011746482380671023,-2.9364571807483885e-05,-2.266712600873434e-06,-0.011515011554138655,-2.8784884340257793e-05,-2.3292093570721133e-08,-0.00619350702047479,-1.5483740380853337e-05,-5.3340212735658955e-08,-0.006119208538244847,-1.5297959130674232e-05,-2.628045915069925e-06,-0.011376875296521694,-2.8439122124354093e-05,-0.27428571428571435,0.0,0.05499995252584097,0.18011758588372856,0.029776720420890603
0.012,17.0,3.9928139078228533,-1.9659339847867582e-06,-0.01531214095520035,-3.8277671525044765e-05,7.713525188001997e-07,-0.005954001774536153,-1.4886056347907673e-05,-1.4089830119112798e-06,-0.005836674930016739,-1.4589765927414471e-05,0.003633143522808472,-0.015010406886394136,-4.4353087821182286e-05,-0.0004305948136533585,-0.005766657073068127,-1.3504201298728534e-05,-2.3295934108857057e-05,-0.008135225380230631,-2.02970633130086e-05,-1.5227793893892338e-06,-0.014830339204929318,-3.707377146875182e-05,1.8947613933490023e-07,-0.007974916337764634,-1.9937549268607454e-05,-2.041719130266338e-06,-0.007879247732264083,-1.9695335091584882e-05,9.83723141497744e-07,-0.007897508477143185,-1.9745112696548272e-05,-2.567864910105254e-06,-0.014683102975838774,-3.6704255746153306e-05,-4.15554007823111e-06,-0.014393764442673315,-3.597874432518111e-05,-4.2710170555647576e-08,-0.007741883775593486,-1.9354651208749788e-05,-9.782282598940769e-08,-0.007649010672806057,-1.9122393331483304e-05,-4.817949895201655e-06,-0.014221094120652113,-3.554616518684261e-05,-0.34285714285714286,0.0,0.05499993777776865,0.18015880199653284,0.029698416926206433
0.014,17.0,2.742667222401482,-3.252659998133113e-06,-0.018374569146240423,-4.593150803063909e-05,1.276134960765487e-06,-0.007144802129443384,-1.786393370490546e-05,-2.33113899566164e-06,-0.007004009916020087,-1.750650233252044e-05,0.0045841927756881,-0.018012488263672966,-5.4114079466203594e-05,-0.0004917918611383222,-0.006919988487681753,-1.6223484185070988e-05,-2.7639178034794336e-05,-0.00976227045627676,-2.4347436305419754e-05,-2.519467599958326e-06,-0.01779640704591518,-4.448721066631448e-05,3.1342399902686133e-07,-0.009569899605317563,-2.392522270364225e-05,-3.3779998797509428e-06,-0.009455097278716901,-2.3632638898966586e-05,1.6275182041516825e-06,-0.009477010172571822,-2.36949847392833e-05,-4.248558224019803e-06,-0.01761972357100653,-4.404288926524107e-05,-6.875321973635248e-06,-0.01727251733120798,-4.317090447782437e-05,-7.068260655533759e-08,-0.009290260530712184,-2.322554455135407e-05,-1.6191997863982247e-07,-0.00917881280736727,-2.2946787461353205e-05,-7.971236959553433e-06,-0.01706531294478254,-4.265123748721835e-05,-0.4114285714285715,0.0,0.054999923221748466,0.18020278462078254,0.02961484376549882
0.016,17.0,1.6127161001700603,-5.003967540664851e-06,-0.021436997337280488,-5.3584361693205884e-05,1.963093448157571e-06,-0.008335602484350613,-2.0842196548278448e-05,-3.58620519678383e-06,-0.008171344902023434,-2.042253440756943e-05,0.005564423732820944,-0.02101456964095179,-6.399690604159971e-05,-0.0005489727974915523,-0.008073319902295376,-1.8953820102892635e-05,-2.8306146709207276e-05,-0.011389315532322884,-2.8404190885720226e-05,-3.876029452118433e-06,-0.020762474886901045,-5.1899888548252715e-05,4.820553287953995e-07,-0.011164882872870489,-2.791299074217379e-05,-5.196705055505723e-06,-0.011030946825169717,-2.7568922063224917e-05,2.5036949344285427e-06,-0.011056511868000458,-2.7645348465511526e-05,-6.536074335353924e-06,-0.020556344166174283,-5.1380239019875655e-05,-1.0577031950669146e-05,-0.02015127021974264,-5.036098724442251e-05,-1.0877348329429614e-07,-0.01083863728583088,-2.709641650806081e-05,-2.492333979277749e-07,-0.01070861494192848,-2.67711325548746e-05,-1.2262920905430582e-05,-0.01990953176891296,-4.975390132988351e-05,-0.48,0.0,0.05499990852222448,0.18024862568475836,0.02952774400642391
0.018000000000000002,17.0,0.6743574507952907,-7.291282398865034e-06,-0.024499425528320566,-6.123605390194975e-05,2.8601810931734885e-06,-0.009526402839257847,-2.382091483176501e-05,-5.22533567656677e-06,-0.009338679888026785,-2.3337734207075003e-05,0.006557951496892955,-0.024016651018230622,-7.395268687762893e-05,-0.0006019626679596501,-0.009226651316909005,-2.1694196298543632e-05,-2.569169937084133e-05,-0.013016360608369014,-3.247013615414952e-05,-5.647801264857848e-06,-0.023728542727886912,-5.9311666746086986e-05,7.021920854683365e-07,-0.01275986614042342,-3.190087048938054e-05,-7.57196947979358e-06,-0.012606796371622537,-3.150399916641758e-05,3.64793498141523e-06,-0.012636013563429098,-3.159629314590882e-05,-9.52370514336955e-06,-0.023492964761342047,-5.871607171751673e-05,-1.5411586268157694e-05,-0.02303002310827731,-5.754861519081661e-05,-1.585514900306828e-07,-0.01238701404094958,-3.0967263168665716e-05,-3.633834832748776e-07,-0.012238417076489694,-3.0595419607729416e-05,-1.7867938209657296e-05,-0.02275375059304339,-5.6853719180344895e-05,-0.5485714285714287,0.0,0.05499989384711465,0.18029557490864376,0.029438565649687658
