t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_6,qref_joint_6,tau_joint_6,q_joint_7,qref_joint_7,tau_joint_7,q_joint_1,qref_joint_1,tau_joint_1,q_joint_8,qref_joint_8,tau_joint_8,q_joint_9,qref_joint_9,tau_joint_9,q_joint_2,qref_joint_2,tau_joint_2,q_joint_10,qref_joint_10,tau_joint_10,q_joint_11,qref_joint_11,tau_joint_11,q_joint_3,qref_joint_3,tau_joint_3,q_joint_12,qref_joint_12,tau_joint_12,q_joint_13,qref_joint_13,tau_joint_13,q_joint_4,qref_joint_4,tau_joint_4,q_joint_5,qref_joint_5,tau_joint_5,q_joint_14,qref_joint_14,tau_joint_14,input_sigma_close,input_sigma_diff,object_horizontal_cylinder_radius2p5_x,object_horizontal_cylinder_radius2p5_y,object_horizontal_cylinder_radius2p5_z
0.0,42.0,11408.833833054892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.16,0.09
0.002,43.0,10974.233517919343,0.008169891830052286,0.0,0.0,-0.0008479692807061253,0.0,0.0,-0.003660961274673081,0.0,0.0,0.0026847031620036506,0.0,0.0,0.012799630834772174,0.0,0.0,-0.0077421669983879105,0.0,0.0,0.002670509730179246,0.0,0.0,0.013762883048929938,0.0,0.0,-0.008216696389554592,0.0,0.0,0.008470881075097638,0.0,0.0,-0.0017807441523351596,0.0,0.0,-0.0033450684613812376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500116224811838,0.15991736286727093,0.09019763114829135
0.004,42.0,10129.540435672483,0.031056901235363893,-0.0027153529960555287,-6.531146895664688e-05,-0.0037795438062227698,-0.0010558429813510779,-1.2472422038697154e-06,-0.013638481770251534,-0.0010350370209229684,1.5755545522500678e-05,0.010090503385182215,-0.002661845487853893,-3.2079291899145265e-05,0.049032713347054085,-0.0010226205209574145,-8.293350813437754e-05,-0.02956113590209082,-0.001442646634094232,3.779712218576207e-05,0.009778353471354202,-0.002629913485674132,-3.180253929512027e-05,0.05172226347723939,-0.001414218497230262,-9.10626092769612e-05,-0.03074979701606242,-0.0013972532645214974,4.091665875019857e-05,0.030625096397344766,-0.001400491503280058,-5.922823547026618e-05,-0.004127650256613061,-0.002603803594382076,-4.9383566522814994e-06,-0.013248663627298336,-0.002552494227834068,4.755445401283018e-06,-1.6517228426852925e-09,-0.0013728940562052448,-8.237364337231469e-06,-3.78172155387752e-09,-0.0013564245593109408,-8.138547355865645e-06,-1.864238296063917e-07,-0.002521874024062308,-1.5131244144373849e-05,-0.0608,0.0,0.07500637998003973,0.15966427679609113,0.0907331719822925
0.006,44.0,9898.993829520738,0.0640516109180854,-0.0054307059921110575,-0.0002189256433648497,-0.0033296947788182133,-0.0021116859627021557,1.0007147061123684e-05,-0.03035949960609688,-0.0020700740418459367,6.941044637043359e-05,0.021436106326402228,-0.005323690975707786,-9.248516616534001e-05,0.10335691337393188,-0.002045241041914829,-0.0003064677263338135,-0.06239309176988753,-0.002885293268188464,0.00016005505580341415,0.021249365785793416,-0.005259826971348264,-9.02290826562148e-05,0.10898872276968644,-0.002828436994460524,-0.0003273042028301995,-0.06511541325625027,-0.0027945065290429947,0.00016773174292211655,0.06502914141720526,-0.002800983006560116,-0.00020055647642342928,-0.006588175463754904,-0.005207607188764152,-6.479741592906549e-06,-0.02921969387188476,-0.005104988455668136,4.88620510297812e-05,-8.259594671737994e-09,-0.0027457881124104896,-1.6474718764125883e-05,-1.8912583815963774e-08,-0.0027128491186218817,-1.6277072021401965e-05,-9.321026879922943e-07,-0.005043748048124616,-3.026136974577006e-05,-0.1216,0.0,0.07499268952269793,0.15926118768987163,0.09155101907655462
0.008,42.0,9950.993752781469,0.10638425489095622,-0.008146058988166586,-0.0004331860194375119,-0.002174911829856156,-0.0031675289440532333,9.729950085898796e-07,-0.052099039838075255,-0.003105111062768905,0.00016352633125996785,0.0358254850436994,-0.00798553646356168,-0.00017652985673978345,0.17280354915548832,-0.0030678615628722435,-0.0006385486496208248,-0.10430179782847454,-0.004327939902282696,0.00034839091120562903,0.03550758886801122,-0.007889740457022397,-0.0001748346374568949,0.1819579884532121,-0.004242655491690786,-0.0006793882695682633,-0.10871937215507048,-0.0041917597935644925,0.00036554192077611463,0.10777685959658381,-0.004201474509840175,-0.0004153836955622726,-0.007034921760757446,-0.007811410783146228,-7.3394119163479425e-06,-0.05036722220982287,-0.007657482683502204,0.00012937326713029535,-2.3131963470295023e-08,-0.0041186821686157345,-2.471204345412638e-05,-5.2975909476880844e-08,-0.004069273677932823,-2.441552859209404e-05,-2.6098019357285745e-06,-0.007565622072186925,-4.5388139816993595e-05,-0.1824,0.0,0.07499658863872191,0.1587185777433815,0.09258282349778031
0.01,37.0,8942.801408803072,0.1556674384543053,-0.010861411984222115,-0.00070347400125107,0.0001821443610872664,-0.004223371925404311,-1.2290760573288934e-05,-0.0779093454902611,-0.0041401480836918735,0.0002877533505263003,0.052347192080429705,-0.010647381951415572,-0.0002788372019706899,0.25465842627139534,-0.004090482083829658,-0.0010613641874359077,-0.15346904398671643,-0.005770586536376928,0.0005911872677525857,0.05190050165055583,-0.010519653942696529,-0.00027616345686424647,0.26678644538785024,-0.005656873988921048,-0.0011256891746527988,-0.15930796747866838,-0.0055890130580859895,0.000618782154581907,0.15777370751759517,-0.005601966013120232,-0.0006802729536582242,-0.0064651097995060015,-0.010415214377528305,-2.0281755700625152e-05,-0.07564296558846785,-0.010209976911336271,0.0002409434717909196,-4.9585020931433345e-08,-0.005491576224820979,-3.294931855714505e-05,-1.135868250498497e-07,-0.005425698237243763,-3.255387156800572e-05,-5.592155263963472e-06,-0.010087496096249232,-6.0509317765881025e-05,-0.2432,0.0,0.07499678255262258,0.15805153151198983,0.09374474510948172
0.012,47.0,9630.605024413851,0.21067993772905774,-0.013576764980277642,-0.0010154652206074979,0.0039356594711626785,-0.005279214906755389,-3.276815560705593e-05,-0.10727348647880414,-0.005175185104614842,0.00043640496231387756,0.07032974300185825,-0.013309227439269466,-0.000393938517118195,0.3452001382486177,-0.005113102604787072,-0.0015586291732570946,-0.20769257964031468,-0.00721323317047116,0.0008775348648974717,0.06957471655014666,-0.013149567428370661,-0.00039030041447355894,0.35979424496186513,-0.0070710924861513095,-0.0016431452272440091,-0.21461841529627473,-0.006986266322607487,0.0009139302069363654,0.21335435398819216,-0.007002457516400291,-0.000988656990203973,-0.0050459150045538675,-0.01301901797191038,-3.932344903442627e-05,-0.10412757182827491,-0.01276247113917034,0.00037728296669578505,-9.094672440305129e-08,-0.006864470281026224,-4.118652417603176e-05,-2.0840815335752064e-07,-0.006782122796554704,-4.069205525837793e-05,-1.025159888227786e-05,-0.01260937012031154,-7.562266779028546e-05,-0.304,0.0,0.07500002839882172,0.15724896172346076,0.09503512174276532
0.014,45.0,9588.223195404156,0.2699231658264605,-0.016292117976333172,-0.0013618323342323455,0.009098458537227967,-0.006335057888106467,-6.162430415561487e-05,-0.13944459904981182,-0.00621022212553781,0.000606379586119598,0.08877956134235412,-0.01597107292712336,-0.0005178048955738898,0.44123082018991144,-0.006135723125744487,-0.0021080151682461735,-0.26485878446209693,-0.008655879804565392,0.0011942201990144958,0.08777321167645069,-0.015779480914044793,-0.0005121251847851488,0.45775659153366843,-0.008485310983381572,-0.0022096773356714804,-0.27258946363509257,-0.008383519587128985,0.0012374093742548746,0.27339510409635187,-0.00840294901968035,-0.0013305438180472352,-0.0030006246777794674,-0.015622821566292456,-6.346143937043154e-05,-0.13514390067020615,-0.015314965367004408,0.000532875638767623,-1.505607189564864e-07,-0.008237364337231469,-4.9423640343042396e-05,-3.451662930212807e-07,-0.008138547355865645,-4.8830033686273726e-05,-1.696030573766373e-05,-0.01513124414437385,-9.072595527294943e-05,-0.3648,0.0,0.07499484350837504,0.15631360175980413,0.0963779624639182
0.016,45.0,9791.322730363827,0.3320006186821779,-0.0190074709723887,-0.001733583820793095,0.015682796328084732,-0.007390900869457544,-9.893615644011306e-05,-0.17372609866705335,-0.007245259146460778,0.0007931960394201062,0.10732980963472358,-0.018632918414977252,-0.0006444748785439882,0.540599727565796,-0.0071583436467019005,-0.0026903349830196804,-0.3231855465577523,-0.010098526438659624,0.001528561548140624,0.10657048230482602,-0.018409394399718924,-0.0006370956364570177,0.5579516307697338,-0.009899529480611834,-0.002805936726085682,-0.33112761120416473,-0.009780772851650481,0.0015768521447006526,0.3368660103375992,-0.009803440522960406,-0.0016991912677158736,-0.0001925610541552358,-0.018226625160674532,-9.135600289737038e-05,-0.1682412375485409,-0.017867459594838472,0.0007036586464522061,-2.317902596277708e-07,-0.009610258393436714,-5.766064699630655e-05,-5.316670797577456e-07,-0.009494971915176585,-5.696776049330138e-05,-2.6090119777068576e-05,-0.017653118168436156,-0.00010581694717619096,-0.4256,0.0,0.07499399699111636,0.15523923858088726,0.09774934641227888
0.018000000000000002,44.0,9776.05652468442,0.397085839406082,-0.02172282396844423,-0.0021223406559037327,0.022463560262068756,-0.008446743850808623,-0.00014477724107336015,-0.20958737190427162,-0.008280296167383747,0.0009926748149980177,0.1270207523393798,-0.021294763902831144,-0.0007717474412253283,0.6394235236855594,-0.008180964167659316,-0.003292684150400732,-0.379665934599792,-0.011541173072753857,0.0018698662409099905,0.1262796495347766,-0.021039307885393058,-0.0007656587411413143,0.6573185086971735,-0.011313747977842096,-0.0034155922724854555,-0.3871909202486773,-0.011178026116171979,0.0019196975105279567,0.40230977284264713,-0.011203932026240464,-0.0020884196541830382,0.004395351088822888,-0.02083042875505661,-0.00012382720620540824,-0.20319504448909276,-0.020419953822672542,0.0008869277023552102,-3.380221338797653e-07,-0.010983152449641959,-6.589752395629398e-05,-7.75811624291272e-07,-0.010851396474487527,-6.510518884444661e-05,-3.801249026594103e-05,-0.020174992192498464,-0.00012089341243632837,-0.4864,0.0,0.07499902868913809,0.154046516729845,0.09912654604914489
